Cuisines,Average_Rating,Restaurant_Count,Total_Votes
"Continental, European, Asian, North Indian, Chinese, Italian",4.1,1,214
"Continental, Chinese, Thai",4.1,1,22
"Hyderabadi, Awadhi",4.1,1,571
"Cafe, Fast Food, Healthy Food",4.1,1,135
"Cafe, Italian, Continental, Mexican",4.1,1,37
"Cafe, Continental, Italian, Pizza",4.1,1,255
"Cafe, Italian, Desserts",4.1,1,165
"Asian, Chinese, Tibetan",4.1,1,25
"European, Italian, Cafe",4.1,1,1199
"Continental, Italian, American",4.1,1,1980
"Continental, Italian, Chinese",4.1,1,1041
"Pakistani, Chinese, Indian, Afghani",4.1,1,192
"European, Italian, North Indian",4.1,2,2313
"European, Pizza",4.1,1,1207
"American, Seafood",4.1,1,293
"Asian, Chinese, Thai",4.1,2,227
"Grill, Burger",4.1,1,258
"American, Tapas",4.1,1,302
"Finger Food, North Indian, Italian, European, Continental",4.1,1,230
"Cafe, Patisserie",4.1,1,88
"South Indian, Chinese, Continental, Italian, North Indian",4.1,1,75
"Cafe, Italian, Mexican, Bakery",4.1,1,256
"Finger Food, Italian, Spanish, Greek",4.1,1,1143
"Cafe, Italian, European, Bakery",4.1,1,147
Sandwich,4.1,1,350
"Salad, Continental",4.1,1,43
"Finger Food, Italian, North Indian",4.1,2,2136
"Cafe, Italian, Mexican, Continental",4.1,1,153
"Cafe, Italian, Lebanese, Continental, Mediterranean",4.1,1,1653
"South Indian, Desserts",4.1,1,121
"American, Italian, Chinese",4.1,1,353
"Cafe, Mediterranean",4.1,1,374
"Cafe, Continental, Italian",4.08,10,1830
"American, Burger",4.076923076923077,13,6371
"Spanish, Tapas",4.066666666666666,3,2222
"Parsi, Iranian",4.066666666666666,3,5374
"Desserts, Sandwich",4.050000000000001,2,147
"Healthy Food, Juices, Salad, Italian, Continental",4.05,2,108
"European, Chinese, North Indian, Italian",4.05,4,4027
"Thai, Asian",4.05,2,303
"Chinese, Seafood, Asian",4.05,2,906
Vietnamese,4.05,2,353
"Japanese, Sushi",4.044444444444444,18,5119
"Burger, American",4.033333333333334,3,388
"North Indian, Fast Food, Italian, Asian",4.033333333333333,3,114
"Chinese, North Indian, Fast Food, Italian",4.033333333333333,3,3536
"North Indian, Continental, Mughlai, Asian",4.033333333333333,3,6069
"Pizza, Bar Food",4.033333333333333,3,626
"American, Breakfast, Burger",4.033333333333333,3,977
"American, Breakfast, Greek",4.0,1,85
"American, British, Continental",4.0,1,969
